nro,status_code,elapsed_ms,relative_time_s,timestamp
1,200,258.21,0.258,2026-05-28T22:38:20.802
2,200,246.2,0.504,2026-05-28T22:38:21.049
3,200,244.38,0.749,2026-05-28T22:38:21.293
4,200,252.27,1.001,2026-05-28T22:38:21.545
5,200,262.94,1.264,2026-05-28T22:38:21.808
6,200,255.48,1.52,2026-05-28T22:38:22.064
7,200,275.23,1.795,2026-05-28T22:38:22.339
8,200,259.62,2.054,2026-05-28T22:38:22.599
9,200,250.36,2.305,2026-05-28T22:38:22.849
10,200,273.75,2.579,2026-05-28T22:38:23.123
11,200,254.7,2.833,2026-05-28T22:38:23.378
12,200,259.46,3.093,2026-05-28T22:38:23.637
13,200,249.67,3.343,2026-05-28T22:38:23.887
14,200,247.08,3.59,2026-05-28T22:38:24.134
15,200,263.96,3.854,2026-05-28T22:38:24.398
16,200,243.2,4.097,2026-05-28T22:38:24.641
17,200,275.66,4.373,2026-05-28T22:38:24.917
18,200,277.62,4.65,2026-05-28T22:38:25.194
19,200,229.58,4.88,2026-05-28T22:38:25.424
20,200,265.78,5.146,2026-05-28T22:38:25.690
21,200,278.87,5.425,2026-05-28T22:38:25.969
22,200,271.53,5.696,2026-05-28T22:38:26.240
23,200,252.71,5.949,2026-05-28T22:38:26.493
24,200,240.56,6.189,2026-05-28T22:38:26.734
25,200,259.73,6.449,2026-05-28T22:38:26.993
26,200,238.24,6.688,2026-05-28T22:38:27.232
27,200,246.93,6.934,2026-05-28T22:38:27.479
28,200,256.27,7.191,2026-05-28T22:38:27.735
29,200,241.04,7.432,2026-05-28T22:38:27.976
30,200,263.72,7.696,2026-05-28T22:38:28.240
31,200,243.12,7.939,2026-05-28T22:38:28.483
32,200,241.2,8.18,2026-05-28T22:38:28.724
33,200,256.66,8.437,2026-05-28T22:38:28.981
34,200,233.08,8.67,2026-05-28T22:38:29.214
35,200,258.06,8.928,2026-05-28T22:38:29.472
36,200,270.72,9.199,2026-05-28T22:38:29.743
37,200,263.93,9.463,2026-05-28T22:38:30.007
38,200,257.54,9.72,2026-05-28T22:38:30.264
39,200,270.39,9.99,2026-05-28T22:38:30.535
40,200,246.09,10.237,2026-05-28T22:38:30.781
41,200,249.25,10.486,2026-05-28T22:38:31.030
42,200,254.11,10.74,2026-05-28T22:38:31.284
43,200,262.57,11.003,2026-05-28T22:38:31.547
44,200,252.49,11.255,2026-05-28T22:38:31.799
45,200,255.47,11.511,2026-05-28T22:38:32.055
46,200,269.8,11.781,2026-05-28T22:38:32.325
47,200,249.79,12.03,2026-05-28T22:38:32.575
48,200,259.62,12.29,2026-05-28T22:38:32.834
49,200,261.07,12.551,2026-05-28T22:38:33.095
50,200,244.25,12.795,2026-05-28T22:38:33.340
51,200,260.59,13.056,2026-05-28T22:38:33.600
52,200,253.62,13.31,2026-05-28T22:38:33.854
53,200,242.21,13.552,2026-05-28T22:38:34.096
54,200,240.33,13.792,2026-05-28T22:38:34.336
55,200,237.81,14.03,2026-05-28T22:38:34.574
56,200,261.33,14.291,2026-05-28T22:38:34.836
57,200,248.89,14.54,2026-05-28T22:38:35.085
58,200,250.04,14.79,2026-05-28T22:38:35.335
59,200,228.39,15.019,2026-05-28T22:38:35.563
60,200,276.76,15.296,2026-05-28T22:38:35.840
61,200,252.85,15.549,2026-05-28T22:38:36.093
62,200,240.28,15.789,2026-05-28T22:38:36.333
63,200,248.09,16.037,2026-05-28T22:38:36.581
64,200,246.45,16.283,2026-05-28T22:38:36.828
65,200,263.17,16.547,2026-05-28T22:38:37.091
66,200,249.42,16.796,2026-05-28T22:38:37.340
67,200,280.74,17.077,2026-05-28T22:38:37.621
68,200,262.23,17.339,2026-05-28T22:38:37.883
69,200,243.92,17.583,2026-05-28T22:38:38.127
70,200,246.29,17.829,2026-05-28T22:38:38.373
71,200,275.29,18.105,2026-05-28T22:38:38.649
72,200,253.04,18.358,2026-05-28T22:38:38.902
73,200,255.39,18.613,2026-05-28T22:38:39.157
74,200,261.11,18.874,2026-05-28T22:38:39.418
75,200,260.61,19.135,2026-05-28T22:38:39.679
76,200,246.57,19.381,2026-05-28T22:38:39.926
77,200,237.85,19.619,2026-05-28T22:38:40.164
78,200,257.57,19.877,2026-05-28T22:38:40.421
79,200,257.94,20.135,2026-05-28T22:38:40.679
80,200,259.89,20.395,2026-05-28T22:38:40.939
81,200,269.26,20.664,2026-05-28T22:38:41.208
82,200,241.03,20.905,2026-05-28T22:38:41.449
83,200,256.71,21.162,2026-05-28T22:38:41.706
84,200,253.39,21.415,2026-05-28T22:38:41.960
85,200,264.3,21.68,2026-05-28T22:38:42.224
86,200,264.26,21.944,2026-05-28T22:38:42.488
87,200,280.17,22.224,2026-05-28T22:38:42.768
88,200,253.71,22.478,2026-05-28T22:38:43.022
89,200,265.36,22.743,2026-05-28T22:38:43.288
90,200,267.63,23.011,2026-05-28T22:38:43.555
91,200,274.29,23.285,2026-05-28T22:38:43.830
92,200,238.22,23.524,2026-05-28T22:38:44.068
93,200,240.42,23.764,2026-05-28T22:38:44.308
94,200,259.44,24.024,2026-05-28T22:38:44.568
